model_idx,seed_idx,aib,decile
4,2,inf,8
4,2,inf,9
4,2,inf,10
6,2,1.0,0
6,2,2.3333333333333335,1
6,2,3.810810810810811,2
6,2,5.142857142857143,3
6,2,inf,4
6,2,inf,5
6,2,inf,6
6,2,inf,7
6,2,inf,8
6,2,inf,9
6,2,inf,10
5,2,1.0,0
5,2,2.6666666666666665,1
5,2,3.7027027027027026,2
5,2,4.571428571428571,3
5,2,5.533333333333333,4
5,2,inf,5
5,2,inf,6
5,2,inf,7
5,2,inf,8
5,2,inf,9
5,2,inf,10
7,2,1.0,0
7,2,2.1052631578947367,1
7,2,3.0789473684210527,2
7,2,3.982456140350877,3
7,2,5.092105263157895,4
7,2,inf,5
7,2,inf,6
7,2,inf,7
7,2,inf,8
7,2,inf,9
7,2,inf,10
8,2,1.0,0
8,2,1.9473684210526316,1
8,2,2.9473684210526314,2
8,2,3.754385964912281,3
8,2,4.545454545454546,4
8,2,5.21875,5
8,2,inf,6
8,2,inf,7
8,2,inf,8
8,2,inf,9
8,2,inf,10
0,3,1.0,0
0,3,1.0,1
0,3,1.0,2
0,3,1.3333333333333333,3
0,3,1.5072463768115942,4
0,3,1.7325581395348837,5
0,3,1.941747572815534,6
0,3,2.1735537190082646,7
0,3,2.398550724637681,8
0,3,2.6258064516129034,9
0,3,2.9710982658959537,10
1,3,1.0,0
1,3,1.0,1
1,3,1.457142857142857,2
1,3,1.6415094339622642,3
1,3,1.8309859154929577,4
1,3,2.067415730337079,5
1,3,2.2242990654205608,6
1,3,2.416,7
1,3,2.6153846153846154,8
1,3,2.869565217391304,9
1,3,inf,10
9,2,1.0,0
9,2,3.9473684210526314,1
9,2,inf,2
9,2,inf,3
9,2,inf,4
9,2,inf,5
9,2,inf,6
9,2,inf,7
9,2,inf,8
9,2,inf,9
9,2,inf,10
2,3,1.0,0
2,3,1.0,1
2,3,1.3055555555555556,2
2,3,1.537037037037037,3
2,3,1.8194444444444444,4
2,3,2.076923076923077,5
2,3,2.3944954128440368,6
2,3,2.7244094488188977,7
2,3,3.1310344827586207,8
2,3,inf,9
2,3,inf,10
3,3,1.0,0
3,3,1.5555555555555556,1
3,3,2.324324324324324,2
3,3,2.9642857142857144,3
3,3,3.5866666666666664,4
3,3,4.212765957446808,5
3,3,4.866071428571429,6
3,3,inf,7
3,3,inf,8
3,3,inf,9
3,3,inf,10
6,3,1.0,0
6,3,3.1578947368421053,1
6,3,4.631578947368421,2
6,3,5.964912280701754,3
6,3,inf,4
6,3,inf,5
6,3,inf,6
6,3,inf,7
6,3,inf,8
6,3,inf,9
6,3,inf,10
4,3,1.0,0
4,3,2.3157894736842106,1
4,3,3.4210526315789473,2
4,3,4.43859649122807,3
4,3,5.368421052631579,4
4,3,inf,5
4,3,inf,6
4,3,inf,7
4,3,inf,8
4,3,inf,9
4,3,inf,10
5,3,1.0,0
5,3,2.0,1
5,3,3.0526315789473686,2
5,3,4.035087719298246,3
5,3,4.947368421052632,4
5,3,inf,5
5,3,inf,6
5,3,inf,7
5,3,inf,8
5,3,inf,9
5,3,inf,10
0,4,1.0,0
0,4,1.0,1
0,4,1.0,2
0,4,1.2264150943396226,3
