model_idx,seed_idx,aib,decile
9,2,1.0,10
0,3,1.0,0
0,3,1.0,1
0,3,1.0,2
0,3,1.0,3
0,3,1.0704225352112675,4
0,3,1.2584269662921348,5
0,3,1.3831775700934579,6
0,3,1.552,7
0,3,1.8951048951048952,8
0,3,2.540372670807453,9
0,3,inf,10
1,3,1.0,0
1,3,1.0,1
1,3,1.0,2
1,3,1.0,3
1,3,1.0,4
1,3,1.0,5
1,3,1.0,6
1,3,1.1153846153846154,7
1,3,1.3108108108108107,8
1,3,1.7305389221556886,9
1,3,inf,10
2,3,1.0,0
2,3,1.0,1
2,3,1.0,2
2,3,1.0,3
2,3,1.0,4
2,3,1.096774193548387,5
2,3,1.25,6
2,3,1.353846153846154,7
2,3,1.570469798657718,8
2,3,1.8869047619047619,9
2,3,inf,10
4,3,1.0,0
4,3,1.0,1
4,3,1.0,2
4,3,1.0,3
4,3,1.0,4
4,3,1.0,5
4,3,inf,6
4,3,inf,7
4,3,inf,8
4,3,inf,9
4,3,inf,10
5,3,1.0,0
5,3,1.0,1
5,3,1.0,2
5,3,1.0,3
5,3,1.0,4
5,3,1.0,5
5,3,1.0,6
5,3,1.0,7
5,3,1.0,8
5,3,1.0,9
5,3,1.0259067357512954,10
3,3,1.0,0
3,3,1.0,1
3,3,1.0,2
3,3,1.0,3
3,3,1.0,4
3,3,1.0,5
3,3,1.0,6
3,3,1.0,7
3,3,1.1290322580645162,8
3,3,1.4252873563218391,9
3,3,inf,10
6,3,1.0,0
6,3,1.0,1
6,3,1.0,2
6,3,1.0,3
6,3,1.0,4
6,3,1.0,5
6,3,1.0,6
6,3,1.0,7
6,3,1.0,8
6,3,1.0,9
6,3,1.0833333333333333,10
7,3,1.0,0
7,3,1.2105263157894737,1
7,3,1.605263157894737,2
7,3,1.736842105263158,3
7,3,1.8051948051948052,4
7,3,2.0416666666666665,5
7,3,2.2,6
7,3,2.4074074074074074,7
7,3,2.655844155844156,8
7,3,3.121387283236994,9
7,3,inf,10
9,3,1.0,0
9,3,1.0,1
9,3,1.0,2
9,3,1.0,3
9,3,1.0,4
9,3,1.0,5
9,3,1.0603448275862069,6
9,3,1.1925925925925926,7
9,3,1.2967741935483872,8
9,3,1.4482758620689655,9
9,3,inf,10
8,3,1.0,0
8,3,1.0,1
8,3,1.0,2
8,3,1.305084745762712,3
8,3,1.481012658227848,4
8,3,1.5858585858585859,5
8,3,1.6554621848739495,6
8,3,1.7266187050359711,7
8,3,1.8867924528301887,8
8,3,2.011173184357542,9
8,3,2.3165829145728645,10
0,4,1.0,0
0,4,3.0,1
0,4,4.4,2
0,4,5.173076923076923,3
0,4,5.914285714285715,4
0,4,6.556818181818182,5
0,4,7.114285714285714,6
0,4,inf,7
0,4,inf,8
0,4,inf,9
0,4,inf,10
1,4,1.0,0
1,4,1.0,1
1,4,1.2702702702702702,2
1,4,1.509090909090909,3
1,4,1.864864864864865,4
1,4,2.3333333333333335,5
1,4,2.8378378378378377,6
1,4,3.4692307692307693,7
1,4,4.135135135135135,8
1,4,inf,9
1,4,inf,10
2,4,1.0,0
2,4,1.0,1
2,4,1.0,2
2,4,1.0,3
2,4,1.0,4
2,4,1.0,5
2,4,1.0178571428571428,6
2,4,1.1538461538461537,7
2,4,1.261744966442953,8
2,4,1.3452380952380953,9
2,4,1.4759358288770053,10
3,4,1.0,0
3,4,1.0,1
3,4,1.0,2
3,4,1.0,3
3,4,1.0,4
3,4,1.0,5
3,4,1.0,6
3,4,1.0,7
3,4,1.0,8
3,4,1.0919540229885059,9
3,4,1.4123711340206186,10
4,4,1.0,0
4,4,1.0,1
4,4,1.0,2
4,4,1.0350877192982457,3
4,4,1.2763157894736843,4
4,4,1.4210526315789473,5
4,4,1.5175438596491229,6
4,4,1.586466165413534,7
4,4,1.638157894736842,8
4,4,1.695906432748538,9
4,4,1.8429319371727748,10
5,4,1.0,0
5,4,1.0,1
5,4,1.0,2
5,4,1.0,3
5,4,1.0,4
5,4,1.0,5
5,4,1.0,6
5,4,1.0,7
5,4,1.0,8
5,4,1.0,9
5,4,1.0360824742268042,10
6,4,1.0,0
6,4,1.0,1
6,4,1.0,2
6,4,1.0,3
6,4,1.0,4
6,4,1.0,5
6,4,1.0,6
6,4,1.2406015037593985,7
6,4,1.75,8
6,4,2.497076023391813,9
6,4,inf,10
7,4,1.0,0
7,4,1.0,1
7,4,1.0,2
7,4,1.0,3
7,4,1.0,4
7,4,1.0,5
7,4,1.0,6
7,4,1.0,7
7,4,1.1217948717948718,8
7,4,1.2215909090909092,9
7,4,1.4285714285714286,10
8,4,1.0,0
8,4,1.263157894736842,1
8,4,1.641025641025641,2
8,4,1.8644067796610169,3
8,4,2.141025641025641,4
8,4,2.316326530612245,5
