ifs,decile,model_size,seed_idx,adv_training_round,model_idx
6.0,3,1311629312,2,0,6
12.0,4,1311629312,2,0,6
59.0,5,1311629312,2,0,6
267.0,6,1311629312,2,0,6
,7,1311629312,2,0,6
,8,1311629312,2,0,6
,9,1311629312,2,0,6
,10,1311629312,2,0,6
0.0,0,7629056,3,0,0
1.0,1,7629056,3,0,0
2.0,2,7629056,3,0,0
4.0,3,7629056,3,0,0
13.0,4,7629056,3,0,0
52.0,5,7629056,3,0,0
94.0,6,7629056,3,0,0
242.0,7,7629056,3,0,0
1234.0,8,7629056,3,0,0
,9,7629056,3,0,0
,10,7629056,3,0,0
0.0,0,6650740736,2,0,8
1.0,1,6650740736,2,0,8
3.0,2,6650740736,2,0,8
95.0,3,6650740736,2,0,8
571.0,4,6650740736,2,0,8
,5,6650740736,2,0,8
,6,6650740736,2,0,8
,7,6650740736,2,0,8
,8,6650740736,2,0,8
,9,6650740736,2,0,8
,10,6650740736,2,0,8
0.0,0,2646435840,2,0,7
1.0,1,2646435840,2,0,7
4.0,2,2646435840,2,0,7
21.0,3,2646435840,2,0,7
74.0,4,2646435840,2,0,7
199.0,5,2646435840,2,0,7
1194.0,6,2646435840,2,0,7
,7,2646435840,2,0,7
,8,2646435840,2,0,7
,9,2646435840,2,0,7
,10,2646435840,2,0,7
0.0,0,17617408,3,0,1
1.0,1,17617408,3,0,1
1.0,2,17617408,3,0,1
1.0,3,17617408,3,0,1
2.0,4,17617408,3,0,1
8.0,5,17617408,3,0,1
19.0,6,17617408,3,0,1
59.0,7,17617408,3,0,1
236.0,8,17617408,3,0,1
,9,17617408,3,0,1
,10,17617408,3,0,1
0.0,0,11586560000,2,0,9
1.0,1,11586560000,2,0,9
6.0,2,11586560000,2,0,9
19.0,3,11586560000,2,0,9
57.0,4,11586560000,2,0,9
310.0,5,11586560000,2,0,9
,6,11586560000,2,0,9
,7,11586560000,2,0,9
,8,11586560000,2,0,9
,9,11586560000,2,0,9
,10,11586560000,2,0,9
0.0,0,353824768,3,0,4
1.0,1,353824768,3,0,4
2.0,2,353824768,3,0,4
3.0,3,353824768,3,0,4
5.0,4,353824768,3,0,4
10.0,5,353824768,3,0,4
18.0,6,353824768,3,0,4
38.0,7,353824768,3,0,4
104.0,8,353824768,3,0,4
1128.0,9,353824768,3,0,4
,10,353824768,3,0,4
0.0,0,123691008,3,0,3
2.0,1,123691008,3,0,3
6.0,2,123691008,3,0,3
25.0,3,123691008,3,0,3
62.0,4,123691008,3,0,3
122.0,5,123691008,3,0,3
282.0,6,123691008,3,0,3
1005.0,7,123691008,3,0,3
,8,123691008,3,0,3
,9,123691008,3,0,3
,10,123691008,3,0,3
0.0,0,44672000,3,0,2
1.0,1,44672000,3,0,2
1.0,2,44672000,3,0,2
2.0,3,44672000,3,0,2
4.0,4,44672000,3,0,2
13.0,5,44672000,3,0,2
40.0,6,44672000,3,0,2
313.0,7,44672000,3,0,2
,8,44672000,3,0,2
,9,44672000,3,0,2
,10,44672000,3,0,2
0.0,0,908763136,3,0,5
1.0,1,908763136,3,0,5
1.0,2,908763136,3,0,5
3.0,3,908763136,3,0,5
7.0,4,908763136,3,0,5
12.0,5,908763136,3,0,5
25.0,6,908763136,3,0,5
61.0,7,908763136,3,0,5
505.0,8,908763136,3,0,5
,9,908763136,3,0,5
,10,908763136,3,0,5
0.0,0,1311629312,3,0,6
1.0,1,1311629312,3,0,6
2.0,2,1311629312,3,0,6
5.0,3,1311629312,3,0,6
28.0,4,1311629312,3,0,6
88.0,5,1311629312,3,0,6
346.0,6,1311629312,3,0,6
,7,1311629312,3,0,6
,8,1311629312,3,0,6
,9,1311629312,3,0,6
,10,1311629312,3,0,6
0.0,0,2646435840,3,0,7
2.0,1,2646435840,3,0,7
3.0,2,2646435840,3,0,7
10.0,3,2646435840,3,0,7
23.0,4,2646435840,3,0,7
52.0,5,2646435840,3,0,7
163.0,6,2646435840,3,0,7
,7,2646435840,3,0,7
,8,2646435840,3,0,7
,9,2646435840,3,0,7
,10,2646435840,3,0,7
0.0,0,7629056,4,0,0
1.0,1,7629056,4,0,0
1.0,2,7629056,4,0,0
1.0,3,7629056,4,0,0
2.0,4,7629056,4,0,0
5.0,5,7629056,4,0,0
11.0,6,7629056,4,0,0
66.0,7,7629056,4,0,0
249.0,8,7629056,4,0,0
,9,7629056,4,0,0
,10,7629056,4,0,0
0.0,0,6650740736,3,0,8
1.0,1,6650740736,3,0,8
3.0,2,6650740736,3,0,8
9.0,3,6650740736,3,0,8
40.0,4,6650740736,3,0,8
139.0,5,6650740736,3,0,8
491.0,6,6650740736,3,0,8
,7,6650740736,3,0,8
,8,6650740736,3,0,8
,9,6650740736,3,0,8
,10,6650740736,3,0,8
0.0,0,11586560000,3,0,9
1.0,1,11586560000,3,0,9
2.0,2,11586560000,3,0,9
8.0,3,11586560000,3,0,9
33.0,4,11586560000,3,0,9
448.0,5,11586560000,3,0,9
,6,11586560000,3,0,9
,7,11586560000,3,0,9
,8,11586560000,3,0,9
,9,11586560000,3,0,9
,10,11586560000,3,0,9
0.0,0,17617408,4,0,1
1.0,1,17617408,4,0,1
1.0,2,17617408,4,0,1
1.0,3,17617408,4,0,1
1.0,4,17617408,4,0,1
7.0,5,17617408,4,0,1
24.0,6,17617408,4,0,1
52.0,7,17617408,4,0,1
136.0,8,17617408,4,0,1
280.0,9,17617408,4,0,1
,10,17617408,4,0,1
0.0,0,123691008,4,0,3
1.0,1,123691008,4,0,3
1.0,2,123691008,4,0,3
2.0,3,123691008,4,0,3
4.0,4,123691008,4,0,3
24.0,5,123691008,4,0,3
120.0,6,123691008,4,0,3
916.0,7,123691008,4,0,3
,8,123691008,4,0,3
,9,123691008,4,0,3
,10,123691008,4,0,3
0.0,0,44672000,4,0,2
1.0,1,44672000,4,0,2
1.0,2,44672000,4,0,2
2.0,3,44672000,4,0,2
7.0,4,44672000,4,0,2
30.0,5,44672000,4,0,2
126.0,6,44672000,4,0,2
,7,44672000,4,0,2
,8,44672000,4,0,2
,9,44672000,4,0,2
,10,44672000,4,0,2
0.0,0,353824768,4,0,4
1.0,1,353824768,4,0,4
2.0,2,353824768,4,0,4
5.0,3,353824768,4,0,4
15.0,4,353824768,4,0,4
36.0,5,353824768,4,0,4
86.0,6,353824768,4,0,4
368.0,7,353824768,4,0,4
994.0,8,353824768,4,0,4
,9,353824768,4,0,4
,10,353824768,4,0,4
0.0,0,908763136,4,0,5
1.0,1,908763136,4,0,5
1.0,2,908763136,4,0,5
2.0,3,908763136,4,0,5
4.0,4,908763136,4,0,5
7.0,5,908763136,4,0,5
19.0,6,908763136,4,0,5
59.0,7,908763136,4,0,5
227.0,8,908763136,4,0,5
,9,908763136,4,0,5
,10,908763136,4,0,5
0.0,0,1311629312,4,0,6
1.0,1,1311629312,4,0,6
3.0,2,1311629312,4,0,6
8.0,3,1311629312,4,0,6
20.0,4,1311629312,4,0,6
61.0,5,1311629312,4,0,6
545.0,6,1311629312,4,0,6
,7,1311629312,4,0,6
,8,1311629312,4,0,6
,9,1311629312,4,0,6
,10,1311629312,4,0,6
0.0,0,2646435840,4,0,7
2.0,1,2646435840,4,0,7
3.0,2,2646435840,4,0,7
7.0,3,2646435840,4,0,7
18.0,4,2646435840,4,0,7
31.0,5,2646435840,4,0,7
96.0,6,2646435840,4,0,7
603.0,7,2646435840,4,0,7
,8,2646435840,4,0,7
,9,2646435840,4,0,7
,10,2646435840,4,0,7
0.0,0,6650740736,4,0,8
2.0,1,6650740736,4,0,8
6.0,2,6650740736,4,0,8
23.0,3,6650740736,4,0,8
102.0,4,6650740736,4,0,8
392.0,5,6650740736,4,0,8
,6,6650740736,4,0,8
,7,6650740736,4,0,8
,8,6650740736,4,0,8
,9,6650740736,4,0,8
,10,6650740736,4,0,8
0.0,0,11586560000,4,0,9
1.0,1,11586560000,4,0,9
5.0,2,11586560000,4,0,9
12.0,3,11586560000,4,0,9
31.0,4,11586560000,4,0,9
76.0,5,11586560000,4,0,9
211.0,6,11586560000,4,0,9
508.0,7,11586560000,4,0,9
,8,11586560000,4,0,9
,9,11586560000,4,0,9
,10,11586560000,4,0,9
